,Date,score,Close,Volume
0,2021-02-03,4070,23.102500915527344,170794000
1,2021-02-04,2568,13.375,249709200
2,2021-02-08,156,15.0,102749200
3,2021-02-09,851,12.577500343322754,107372400
4,2021-02-10,2969,12.800000190734863,145820000
5,2021-02-11,1444,12.774999618530273,52226800
6,2021-02-12,1386,13.100000381469727,58293200
7,2021-02-16,38,12.3774995803833,32700000
8,2021-02-17,30,11.484999656677246,36747200
9,2021-02-18,138,10.172499656677246,95962400
10,2021-02-19,498,10.147500038146973,59312800
11,2021-02-22,304,11.5,77904000
12,2021-02-23,1292,11.242500305175781,30260800
13,2021-02-24,1849,22.927499771118164,332446800
14,2021-02-25,15634,27.1825008392334,601235200
15,2021-02-26,14146,25.434999465942383,368776800
